state,city,population,location
IA,Iowa City,67862,"(41.65589503320, -91.5308854927)"
IA,Sioux City,82684,"(42.49631490390, -96.3913834837)"
IA,Waterloo,68406,"(42.49197369320, -92.3521759342)"
KS,Kansas City,145786,"(39.12346214090, -94.7441921112)"
KS,Lawrence,87643,"(38.95993029240, -95.2628259088)"
KS,Olathe,125872,"(38.88469302100, -94.8192070197)"
KS,Overland Park,173372,"(38.88729225750, -94.6872267067)"
KS,Topeka,127473,"(39.03595499110, -95.6954155341)"
KS,Wichita,382368,"(37.69056147800, -97.3429366807)"
KY,Lexington,295803,"(38.04232540220, -84.4587259608)"
KY,Louisville,597337,"(38.17776899180, -85.6664099974)"
LA,Baton Rouge,229493,"(30.45108916790, -91.1263551997)"
LA,Kenner,66702,"(30.01069372010, -90.2550320135)"
LA,Lafayette,120623,"(30.21205828150, -92.0317532321)"
LA,Lake Charles,71993,"(30.20306799660, -93.2148796496)"
LA,New Orleans,343829,"(30.06870099350, -89.9316317895)"
LA,Shreveport,199311,"(32.46716188640, -93.7962236108)"
ME,Portland,66194,"(43.67798362710, -70.2752544531)"
MD,Baltimore,620961,"(39.30845239910, -76.6160492311)"
MA,Boston,617594,"(42.31557967770, -71.0916505804)"
MA,Brockton,93810,"(42.08207137200, -71.0241656338)"
MA,Cambridge,105162,"(42.37581880510, -71.1183992378)"
MA,Fall River,88857,"(41.71399075980, -71.0996396919)"
MA,Lawrence,76377,"(42.70027722010, -71.1626790341)"
MA,Lowell,106519,"(42.63887273310, -71.3217143960)"
MA,Lynn,90329,"(42.47833228810, -70.9662372538)"
MA,New Bedford,95072,"(41.67126672580, -70.9441204537)"
MA,Newton,85146,"(42.33165676160, -71.2084466944)"
MA,Quincy,92271,"(42.24929819180, -71.0218764062)"
MA,Somerville,75754,"(42.39057388580, -71.1017450879)"
MA,Springfield,153060,"(42.11549779990, -72.5395254143)"
MA,Worcester,181045,"(42.27054254460, -71.8079404584)"
MI,Ann Arbor,113934,"(42.27568335670, -83.7311374448)"
MI,Dearborn,98153,"(42.31268846260, -83.2129368006)"
MI,Detroit,713777,"(42.38470156310, -83.1053178776)"
MI,Farmington Hills,79740,"(42.48599569920, -83.3771159714)"
MI,Flint,102434,"(43.02363393860, -83.6920640313)"
MI,Grand Rapids,188040,"(42.96148154140, -85.6556858473)"
MI,Kalamazoo,74262,"(42.27487564740, -85.5881885760)"
MI,Lansing,114297,"(42.70907117510, -84.5584470022)"
MI,Livonia,96942,"(42.39715927370, -83.3733073683)"
MI,Rochester Hills,70995,"(42.66452567680, -83.1563037157)"
MI,Southfield,71739,"(42.47650162670, -83.2605284738)"
MI,Sterling Heights,129699,"(42.58098528300, -83.0303680858)"
MI,Troy,80980,"(42.58173403580, -83.1457545154)"
MI,Warren,134056,"(42.49342330340, -83.0270075248)"
MI,Westland,84094,"(42.31922204550, -83.3805461719)"
MI,Wyoming,72125,"(42.89097456610, -85.7067229249)"
MN,Bloomington,82893,"(44.83058524290, -93.3150995817)"
MN,Brooklyn Park,75781,"(45.11120339160, -93.3505067942)"
MN,Duluth,86265,"(46.78547034270, -92.1342013763)"
MN,Minneapolis,382578,"(44.96354079670, -93.2678345304)"
MN,Plymouth,70576,"(45.02246287400, -93.4616016242)"
MN,Rochester,106769,"(44.01505743840, -92.4775005494)"
MN,St. Paul,285068,"(44.94774025580, -93.1039958305)"
MS,Gulfport,67793,"(30.42737700800, -89.0701908439)"
MS,Jackson,173514,"(32.31627222000, -90.2124528561)"
MO,Columbia,108500,"(38.94811096510, -92.3260129764)"
MO,Independence,116830,"(39.08707947710, -94.3502748237)"
MO,Kansas City,459787,"(39.12394139710, -94.5541236795)"
MO,Lee's Summit,91364,"(38.91705081280, -94.3814865856)"
MO,O'Fallon,79329,"(38.78522441610, -90.7176856736)"
MO,St. Joseph,76780,"(39.75983121790, -94.8209246813)"
MO,St. Louis,319294,"(38.63581226150, -90.2451186799)"
MO,Springfield,159498,"(37.19426614840, -93.2914273656)"
MT,Billings,104170,"(45.78931026090, -108.548827840)"
MT,Missoula,66788,"(46.86944024550, -114.009863843)"
NE,Lincoln,258379,"(40.80961956950, -96.6806742049)"
NE,Omaha,408958,"(41.26423091110, -96.0415076441)"
NV,Henderson,257729,"(36.01223949160, -115.037392161)"
NV,Las Vegas,583756,"(36.22741484380, -115.262670095)"
NV,North Las Vegas,216961,"(36.28919935620, -115.088496088)"
NV,Reno,225221,"(39.55401719980, -119.852733516)"
NV,Sparks,90264,"(39.57337327600, -119.713134168)"
NH,Manchester,109565,"(42.98445417130, -71.4445313287)"
NH,Nashua,86494,"(42.74915544590, -71.4909587631)"
NJ,Camden,77344,"(39.93619100660, -75.1072961899)"
NJ,Clifton,84136,"(40.86312174250, -74.1575145342)"
NJ,Elizabeth,124969,"(40.66644477290, -74.1938679138)"
NJ,Jersey City,247597,"(40.71881308520, -74.0687740635)"
NJ,Newark,277140,"(40.72606934490, -74.1752997118)"
NJ,Passaic,69781,"(40.85745811090, -74.1281123174)"
NJ,Paterson,146199,"(40.91468749770, -74.1624181271)"
NJ,Trenton,84913,"(40.22372899810, -74.7639943311)"
NJ,Union City,66455,"(40.76746068840, -74.0322935070)"
NM,Albuquerque,545852,"(35.10550257710, -106.647447696)"
NM,Las Cruces,97618,"(32.32663879700, -106.789465579)"
NM,Rio Rancho,87521,"(35.28730793500, -106.697981552)"
NM,Santa Fe,67947,"(35.66627196010, -105.972662995)"
NY,Albany,97856,"(42.66639696040, -73.7986826267)"
NY,Buffalo,261310,"(42.90145182330, -78.8475237264)"
NY,Mount Vernon,67292,"(40.91360085690, -73.8291001676)"
NY,New Rochelle,77062,"(40.93217131410, -73.7843883178)"
NY,New York,8175133,"(40.69496068900, -73.9313850409)"
NY,Rochester,210565,"(43.16798029180, -77.6162348882)"
NY,Schenectady,66135,"(42.80252044140, -73.9275333869)"
NY,Syracuse,145170,"(43.04092020970, -76.1437679213)"
NY,Yonkers,195976,"(40.94650255970, -73.8636959965)"
NC,Asheville,83393,"(35.57082513910, -82.5537350816)"
NC,Cary,135234,"(35.78149787220, -78.8152191642)"
NC,Charlotte,731424,"(35.20787219690, -80.8300754645)"
NC,Concord,79066,"(35.39393169580, -80.6352429349)"
NC,Durham,228330,"(35.98091474020, -78.9059161097)"
NC,Fayetteville,200564,"(35.08513095270, -78.9791676456)"
NC,Gastonia,71741,"(35.24729844310, -81.1836588468)"
NC,Greensboro,269666,"(36.09604804150, -79.8276833061)"
NC,Greenville,84554,"(35.59592118760, -77.3766133673)"
NC,High Point,104371,"(35.98812438030, -79.9932956384)"
NC,Jacksonville,70145,"(34.73311030370, -77.3951822819)"
NC,Raleigh,403892,"(35.83220809330, -78.6440243809)"
NC,Wilmington,106476,"(34.21027585690, -77.8872842368)"
NC,Winston-Salem,229617,"(36.10294530390, -80.2609889241)"
ND,Fargo,105549,"(46.86524578320, -96.8289882328)"
OH,Akron,199110,"(41.08014449420, -81.5219213688)"
OH,Canton,73007,"(40.80801926620, -81.3676594998)"
OH,Cincinnati,296943,"(39.14117471240, -84.5060004524)"
OH,Cleveland,396815,"(41.47653458210, -81.6805494865)"
OH,Columbus,787033,"(39.98595004840, -82.9851738516)"
OH,Dayton,141527,"(39.77976803900, -84.1997930517)"
OH,Parma,81601,"(41.38423998380, -81.7285991530)"
OH,Toledo,287208,"(41.66373996040, -83.5823818449)"
OH,Youngstown,66982,"(41.09932866070, -80.6463187081)"
OK,Broken Arrow,98850,"(36.03663249110, -95.7809572414)"
OK,Edmond,81405,"(35.66893505160, -97.4159205309)"
OK,Lawton,96867,"(34.61705648990, -98.4203934803)"
OK,Norman,110925,"(35.23350326470, -97.3470413838)"
OK,Oklahoma City,579999,"(35.46756428800, -97.5137615524)"
OK,Tulsa,391906,"(36.12842134250, -95.9036195464)"
OR,Beaverton,89803,"(45.47957656740, -122.814973469)"
OR,Bend,76639,"(44.05618271840, -121.308690416)"
OR,Eugene,156185,"(44.05593633460, -123.117327584)"
OR,Gresham,105594,"(45.50242567980, -122.441469029)"
OR,Hillsboro,91611,"(45.52902799400, -122.937442209)"
OR,Medford,74907,"(42.33719875840, -122.853625909)"
OR,Portland,583776,"(45.53718065400, -122.650032751)"
OR,Salem,154637,"(44.92327315400, -123.024867100)"
PA,Allentown,118032,"(40.59609961800, -75.4755373968)"
PA,Bethlehem,74982,"(40.62664025780, -75.3679048175)"
PA,Erie,101786,"(42.11646987540, -80.0730358517)"
PA,Philadelphia,1526006,"(40.00931478080, -75.1333888571)"
PA,Pittsburgh,305704,"(40.43962974860, -79.9762614995)"
PA,Reading,88082,"(40.33996786860, -75.9266128837)"
PA,Scranton,76089,"(41.40437293620, -75.6649126898)"
RI,Cranston,80387,"(41.76580171350, -71.4861485002)"
RI,Pawtucket,71148,"(41.87445345170, -71.3743580803)"
RI,Providence,178042,"(41.82348053300, -71.4218129335)"
RI,Warwick,82672,"(41.70647273010, -71.4345615049)"
SC,Charleston,120083,"(32.81369618920, -79.9673818990)"
SC,Columbia,129272,"(34.03660695660, -80.9037852694)"
SC,Mount Pleasant,67843,"(32.85382745840, -79.8230343029)"
SC,North Charleston,97471,"(32.91009150710, -80.0738525014)"
SC,Rock Hill,66154,"(34.94036114960, -81.0249178286)"
SD,Rapid City,67956,"(44.07050095640, -103.218361421)"
SD,Sioux Falls,153888,"(43.53880675370, -96.7313495858)"
TN,Chattanooga,167674,"(35.06624721650, -85.2466771892)"
TN,Clarksville,132929,"(36.56968315900, -87.3432371614)"
TN,Knoxville,178874,"(35.96905945310, -83.9495877264)"
TN,Memphis,646889,"(35.10462950420, -89.9789060850)"
TN,Murfreesboro,108755,"(35.85077819500, -86.4086282380)"
TN,Nashville,601222,"(36.17122299040, -86.7845944773)"
TX,Abilene,117063,"(32.45465108980, -99.7383043723)"
TX,Allen,84246,"(33.10870432340, -96.6735373763)"
TX,Amarillo,190695,"(35.20038355440, -101.828292514)"
TX,Arlington,365438,"(32.69983686200, -97.1250896120)"
TX,Austin,790390,"(30.30686103420, -97.7554771245)"
TX,Baytown,71802,"(29.75711530430, -94.9676276217)"
TX,Beaumont,118296,"(30.08441664700, -94.1441072222)"
TX,Brownsville,175023,"(25.99819778610, -97.4566343763)"
TX,Bryan,76201,"(30.66656875820, -96.3663819223)"
TX,Carrollton,119097,"(32.98843845900, -96.9001374330)"
TX,College Station,93857,"(30.58676158010, -96.2957958614)"
TX,Corpus Christi,305215,"(27.72915883370, -97.4019095379)"
TX,Dallas,1197816,"(32.79398040660, -96.7656929463)"
TX,Denton,113383,"(33.21561604430, -97.1412438684)"
TX,Edinburg,77100,"(26.31558439740, -98.1637130371)"
TX,El Paso,649121,"(31.84811235060, -106.432021874)"
TX,Fort Worth,741206,"(32.78019280400, -97.3470323225)"
TX,Frisco,116989,"(33.15075451520, -96.8201336312)"
TX,Garland,226876,"(32.91007998670, -96.6304258603)"
TX,Grand Prairie,175396,"(32.68676502380, -97.0209311916)"
TX,Houston,2099451,"(29.78066913960, -95.3860033966)"
TX,Irving,216290,"(32.85838081310, -96.9703058323)"
TX,Killeen,127921,"(31.07576481430, -97.7285651299)"
TX,Laredo,236091,"(27.54825724750, -99.4867797312)"
TX,League City,83560,"(29.48729958080, -95.1089858945)"
TX,Lewisville,95290,"(33.04519924290, -96.9829273031)"
TX,Longview,80455,"(32.51928578560, -94.7621975980)"
TX,Lubbock,229573,"(33.56662511780, -101.886335663)"
TX,McAllen,129877,"(26.21862899420, -98.2451704536)"
TX,McKinney,131117,"(33.19888869520, -96.6677029773)"
TX,Mesquite,139824,"(32.76413101660, -96.5927445114)"
TX,Midland,111147,"(32.02859483560, -102.109700973)"
TX,Mission,77058,"(26.20334064640, -98.3227705130)"
TX,Missouri City,67358,"(29.56367466100, -95.5382066661)"
TX,Odessa,99940,"(31.87945646100, -102.344465435)"
TX,Pasadena,149043,"(29.65895114880, -95.1509173148)"
TX,Pearland,91252,"(29.55848505770, -95.3208389111)"
TX,Pharr,70400,"(26.16881539900, -98.1904720704)"
TX,Plano,259841,"(33.05021492780, -96.7486409797)"
TX,Richardson,99223,"(32.97165823890, -96.7093052991)"
TX,Round Rock,99887,"(30.52395782350, -97.6669801882)"
TX,San Angelo,93200,"(31.44046874600, -100.452243142)"
TX,San Antonio,1327407,"(29.47214753330, -98.5246763525)"
TX,Sugar Land,78817,"(29.59746809020, -95.6274557750)"
TX,Tyler,96900,"(32.31540211830, -95.3050093799)"
TX,Waco,124805,"(31.55976071370, -97.1883333282)"
TX,Wichita Falls,104553,"(33.90727398380, -98.5292981697)"
UT,Layton,67311,"(41.07718161400, -111.961589302)"
UT,Ogden,82825,"(41.22815675350, -111.967450557)"
UT,Orem,88328,"(40.29871276250, -111.699188517)"
UT,Provo,112488,"(40.24571852880, -111.645715857)"
UT,St. George,72897,"(37.07874446340, -113.579352503)"
UT,Salt Lake City,186440,"(40.77784894650, -111.931220784)"
UT,Sandy,87461,"(40.57022544230, -111.852431062)"
UT,West Jordan,103712,"(40.60225986350, -112.000961848)"
UT,West Valley City,129480,"(40.68876969620, -112.011667394)"
VT,Burlington,42417,"(44.48762456940, -73.2314828365)"
VA,Alexandria,139966,"(38.81873515570, -77.0867762661)"
VA,Chesapeake,222209,"(36.67775211180, -76.3024325925)"
VA,Hampton,137436,"(37.05330090250, -76.3665945624)"
VA,Lynchburg,75568,"(37.40041630160, -79.1911081000)"
VA,Newport News,180719,"(37.10511413090, -76.5182644502)"
VA,Norfolk,242803,"(36.89328630060, -76.2567157761)"
VA,Portsmouth,95535,"(36.84514502280, -76.3552763467)"
VA,Richmond,204214,"(37.52939330830, -77.4755681680)"
VA,Roanoke,97032,"(37.27821818550, -79.9581615989)"
VA,Suffolk,84585,"(36.69303679810, -76.6414278469)"
VA,Virginia Beach,437994,"(36.75345933390, -76.0589579522)"
WA,Auburn,70180,"(47.30385443250, -122.210810557)"
WA,Bellevue,122363,"(47.59624376060, -122.153569982)"
WA,Bellingham,80885,"(48.75353703150, -122.468092906)"
WA,Everett,103019,"(47.94979661890, -122.160703911)"
WA,Federal Way,89306,"(47.30908463160, -122.335755583)"
WA,Kennewick,73917,"(46.19843842800, -119.173245847)"
WA,Kent,92411,"(47.38496362720, -122.217890194)"
WA,Renton,90927,"(47.47605467520, -122.191153327)"
WA,Seattle,608660,"(47.62215433800, -122.323532482)"
WA,Spokane,208916,"(47.67362432590, -117.415973291)"
WA,Spokane Valley,89755,"(47.66255657400, -117.234571922)"
WA,Tacoma,198397,"(47.24254114450, -122.454473910)"
WA,Vancouver,161791,"(45.63571723650, -122.598539476)"
WA,Yakima,91067,"(46.59257920920, -120.547807614)"
WV,Charleston,51400,"(38.34840797360, -81.6321650030)"
WI,Appleton,72623,"(44.27769874570, -88.3897664444)"
WI,Green Bay,104057,"(44.51498478160, -87.9896195955)"
WI,Kenosha,99218,"(42.58557027100, -87.8735745085)"
WI,Madison,233209,"(43.08098656940, -89.3915106344)"
WI,Milwaukee,594833,"(43.06412589250, -87.9672412429)"
WI,Racine,78860,"(42.72745994940, -87.8134530240)"
WI,Waukesha,70718,"(43.00933322150, -88.2457679157)"
WY,Cheyenne,59466,"(41.14608042650, -104.789064332)"
